title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Stuntman;4.5;;30;17;PlayStation 2
Suikoden Tactics;33.5;38;;37;PlayStation 2
Super Dragon Ball Z;;;;;PlayStation 2
Tales of Destiny (PS2);39;52;;41;PlayStation 2
Teen Titans;3.5;5;4;4;PlayStation 2
Test Drive (2002);14;;13;13.5;PlayStation 2
The Bigs;3.5;10;46.5;12.5;PlayStation 2
The Bouncer;1.5;3;5.5;2;PlayStation 2
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;2.5;8;;5;PlayStation 2
The Dog Island;;10;;10;PlayStation 2
The Getaway: Black Monday;;;;;PlayStation 2
The Haunted Mansion;9;12;;9.5;PlayStation 2
The Incredible Hulk (2008);8.5;10;24;11;PlayStation 2
The King of Fighters '94;2.5;3;2;2.5;PlayStation 2
The King of Fighters '95;4;2;16.5;5;PlayStation 2
The King of Fighters '96;;2;11;6.5;PlayStation 2
The King of Fighters '97;7.5;3.5;13;6.5;PlayStation 2
The King of Fighters 2002;0.36666666666666664;2;;0.5666666666666667;PlayStation 2
The King of Fighters 2003;;3;;3;PlayStation 2
The King of Fighters XI;5.5;18;;8.5;PlayStation 2
The Nightmare of Druaga: Fushigino Dungeon;;;;;PlayStation 2
The Sims (Console);36;50;;43;PlayStation 2
The Sims 2: Pets;;27.5;;27.5;PlayStation 2
The Sims Bustin' Out;26.5;26.5;24;25.5;PlayStation 2
The Sword of Etheria;8;;;8;PlayStation 2
The Urbz: Sims in the City;15.5;12.5;;15;PlayStation 2
The X-Files: Resist or Serve;8.5;6;;7.5;PlayStation 2
Thrillville: Off the Rails;8;32;11;11;PlayStation 2
Thunder Force VI;0.6333333333333333;;;0.6333333333333333;PlayStation 2
ThunderFox;0.4666666666666667;;;0.4666666666666667;PlayStation 2
Time Crisis 3;0.55;9;;5;PlayStation 2
TOCA Race Driver;;15;;15;PlayStation 2
Tom Clancy's Ghost Recon: Jungle Storm;13;16;18;15;PlayStation 2
Tony Hawk's American Wasteland;12;13.5;15;13;PlayStation 2
Tony Hawk's Pro Skater 3;7.5;14.5;37;14;PlayStation 2
Tony Hawk's Underground;6.5;8;17;9;PlayStation 2
Total Overdose;5;8.5;8;7.5;PlayStation 2
Transformers: The Game;5;17.5;18.5;6.5;PlayStation 2
Trapt;5;7;;5;PlayStation 2
Turok: Evolution;5;11;;9.5;PlayStation 2
Twisted Metal: Head-On;;;;;PlayStation 2
Under the Skin;4;;;4;PlayStation 2
Urban Chaos: Riot Response;8;;12.5;10.5;PlayStation 2
Urban Reign;6.5;54;;14.5;PlayStation 2
Van Helsing;4;;;4;PlayStation 2
Virtua Fighter 4;0.9;;1;0.95;PlayStation 2
Virtua Fighter 4: Evolution;0.31666666666666665;11;;2;PlayStation 2
War of the Monsters;2.5;;7.5;4;PlayStation 2
Warriors Orochi;10;9.5;42;15.5;PlayStation 2
Warriors Orochi 2;17.5;30;47.5;30;PlayStation 2
Wheel of Fortune: Deluxe Edition;;;;;PlayStation 2
Whiplash;;13;;13;PlayStation 2
Wipeout Fusion;5;10;;7;PlayStation 2
Worms 4: Mayhem;10.5;14;19;13.5;PlayStation 2
WWE SmackDown! Here Comes the Pain;13.5;10;;12;PlayStation 2
WWE SmackDown! Shut Your Mouth;8.5;17.5;24;14;PlayStation 2
WWE SmackDown! vs. Raw;10.5;38;52;35.5;PlayStation 2
WWE SmackDown! vs. Raw 2006;9;22;29.5;17.5;PlayStation 2
X2: Wolverine's Revenge;14.5;9;;11;PlayStation 2
XG3: Extreme G Racing;7;10;;8;PlayStation 2
Zapper: One Wicked Cricket;4.5;;;4.5;PlayStation 2
Glass Rose;11.5;;;11.5;PlayStation 2
Cartoon Network Racing;;;15;15;PlayStation 2
Naruto Shippuden: Ultimate Ninja 4;;;;;PlayStation 2
Bleach: Blade Battlers 2nd;;;;;PlayStation 2
Madden NFL 2003;;;;;PlayStation 2
Madden NFL 2005;;;;;PlayStation 2
NASCAR 2005: Chase for the Cup;50;;;50;PlayStation 2
Global Defence Force;23.5;;;23.5;PlayStation 2
Juiced;9;;;9;PlayStation 2
KOF: Maximum Impact 2;;;;;PlayStation 2
Shinobido: Way of the Ninja;9;;;9;PlayStation 2
Chicken Little;3.5;;;3.5;PlayStation 2
Monster Rancher 4;;;;;PlayStation 2
Ben 10: Alien Force;6.5;;;6.5;PlayStation 2
KOF: Maximum Impact;;;;;PlayStation 2
Initial D: Special Stage;;;;;PlayStation 2
Tony Hawk's Downhill Jam;;;;;PlayStation 2
MX Unleashed;3;;;3;PlayStation 2
Romance of the Three Kingdoms X;;32;;32;PlayStation 2
Heatseeker;10;;;10;PlayStation 2
Street Fighter Anniversary Collection;;3;;3;PlayStation 2
Shadow Man: 2econd Coming;;9;;9;PlayStation 2
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies;6.5;;;6.5;PlayStation 2
The Fairly OddParents: Shadow Showdown;;;;;PlayStation 2
Resident Evil: Survivor 2 - Code: Veronica;0.6833333333333333;;;0.6833333333333333;PlayStation 2
Pop'n Music 8;0.25;;;;PlayStation 2
Everblue 2;35;45;50;44;PlayStation 2
Snoopy vs. the Red Baron;;;;;PlayStation 2
Super Robot Taisen Z;;;;;PlayStation 2
Gran Turismo Concept 2002 Tokyo-Geneva;;60.5;;60.5;PlayStation 2
Alter Echo;5.5;;;5.5;PlayStation 2
Crash Twinsanity;4;6;8;5;PlayStation 2
Dragon Ball Z: Budokai Tenkaichi 2;11;15;26;15;PlayStation 2
ESPN NFL 2K5;;;;;PlayStation 2
God Hand;13.5;15;17;13.5;PlayStation 2
Mortal Kombat (Original);1;15;3;2.5;PlayStation 2
Oni;;11;;11;PlayStation 2
Pro Evolution Soccer 2008;67;361;;;PlayStation 2
Pro Evolution Soccer 2009;111;493.5;10;;PlayStation 2
Pro Evolution Soccer 2010;90;306.5;;;PlayStation 2
Pro Evolution Soccer 2011;386;548;35;;PlayStation 2
Pro Evolution Soccer 5;72.5;342;50;;PlayStation 2
Rise of the Kasai;;;;;PlayStation 2
Robot Alchemic Drive;9.5;;;9.5;PlayStation 2
The Simpsons Road Rage;13;20;36.5;18.5;PlayStation 2
Warriors of Might and Magic;4.5;;;4.5;PlayStation 2
WWE SmackDown vs. Raw 2008;9.5;31;45.5;20;PlayStation 2
The Terminator: Dawn of Fate;2.5;7.5;13.5;7.5;PlayStation 2
Mushihime-sama;1.5;11.5;;2.5;PlayStation 2
Bleach: Blade Battlers;;;;;PlayStation 2
1941: Counter Attack;0.43333333333333335;;2;0.7333333333333333;PlayStation 2
Destruction Derby: Arenas;;;;;PlayStation 2
Sonic Mega Collection Plus;34;;;;PlayStation 2
Virtua Cop: Elite Edition;;;;;PlayStation 2
Pro Evolution Soccer 2007;64;;;;PlayStation 2
50 Cent: Blood on the Sand;6;7.5;8.5;7;PlayStation 2
50 Cent: Bulletproof;5.5;;;5.5;PlayStation 2
AC/DC Live: Rock Band Track Pack;4;;;4;PlayStation 2
Aeon Flux;6.5;;;6.5;PlayStation 2
Art of Fighting Anthology;2;;;;PlayStation 2
Astro Boy (2004);;;;;PlayStation 2
ATV Offroad Fury 3;;;;;PlayStation 2
ATV Offroad Fury 4;8.5;;;8.5;PlayStation 2
Avatar: The Last Airbender;7.5;8;;7.5;PlayStation 2
Barbarian;;20;;20;PlayStation 2
Battle Shark;0.4;;;0.4;PlayStation 2
Beatmania IIDX 11 IIDXRED;;12;;12;PlayStation 2
Beatmania IIDX 12: Happy Sky;;10;;10;PlayStation 2
Beatmania IIDX 7th Style;;10;;10;PlayStation 2
Bee Movie Game;5;5.5;;5;PlayStation 2
Brave: The Search for Spirit Dancer;6;;7;6.5;PlayStation 2
Britney's Dance Beat;1.5;;;1.5;PlayStation 2
CSI: 3 Dimensions of Murder;;;6;6;PlayStation 2
Daemon Summoner;2;;;2;PlayStation 2
Dance Dance Revolution Extreme 2;5;7;;6;PlayStation 2
Dance Dance Revolution SuperNova 2;20;;;20;PlayStation 2
Dance Dance Revolution X;5;;;5;PlayStation 2
DDRMAX Dance Dance Revolution;10;;24;20.5;PlayStation 2
DDRMAX2 Dance Dance Revolution;10;;49;41;PlayStation 2
Disney's PK: Out of the Shadows;3.5;;;3.5;PlayStation 2
Disney's Tarzan: Untamed;4;;;4;PlayStation 2
Dog's Life;7.5;8;7;7.5;PlayStation 2
Espgaluda;0.55;;;0.55;PlayStation 2
ESPN NHL 2K5;;;;;PlayStation 2
Fallout: Brotherhood of Steel;8;9.5;;9;PlayStation 2
Fantastic Four (2005);7;7;;7;PlayStation 2
Fantastic Four: Rise of the Silver Surfer;5.5;10;;7.5;PlayStation 2
FantaVision;;;;;PlayStation 2
FIFA 10;94;40;;;PlayStation 2
Finny The Fish & The Seven Waters;;3.5;;3.5;PlayStation 2
Forgotten Worlds;0.8833333333333333;;2;1;PlayStation 2
Gungrave;3;3.5;6.5;3.5;PlayStation 2
Herdy Gerdy;10;;;10;PlayStation 2
Hulk;5.5;5;5;5;PlayStation 2
Ibara;6.5;13.5;;11;PlayStation 2
In the Groove;3;10.5;;8.5;PlayStation 2
Iron Man;4.5;5;9;5.5;PlayStation 2
Jaws Unleashed;;10;;10;PlayStation 2
Kinetica;;;;;PlayStation 2
Kung Fu Panda;5;7.5;14;6;PlayStation 2
Midway Arcade Treasures 2;7;;;;PlayStation 2
Mission: Impossible - Operation Surma;;;;;PlayStation 2
Musashi: Samurai Legend;15;17;;15.5;PlayStation 2
MVP 06: NCAA Baseball;;;;;PlayStation 2
NBA 2K6;0.5666666666666667;;;;PlayStation 2
NBA Street;12;;;;PlayStation 2
Operation Thunderbolt;0.25;;;0.25;PlayStation 2
Pirates of the Caribbean: The Legend of Jack Sparrow;14;;;14;PlayStation 2
Pro Evolution Soccer 3;90;250;;;PlayStation 2
Psyvariar: Revision;1;;;1;PlayStation 2
Rolling;;;;;PlayStation 2
Rugrats: Royal Ransom;6;;;6;PlayStation 2
Rurouni Kenshin: Enjou! Kyoto Rinne;4.5;;;4.5;PlayStation 2
Saint Seiya: The Sanctuary;4;4;;4;PlayStation 2
Samurai Champloo: Sidetracked;8;;;8;PlayStation 2
Seven Samurai 20XX;;6.5;;6.5;PlayStation 2
Shaman King: Power of Spirit;8.5;;;8.5;PlayStation 2
Shamu's Deep Sea Adventures;4;;;4;PlayStation 2
Shellshock: Nam '67;6;;;6;PlayStation 2
Silpheed: The Lost Planet;0.8333333333333334;;;0.8333333333333334;PlayStation 2
Smuggler's Run;;;1;1;PlayStation 2
Space Gun;0.31666666666666665;;;0.31666666666666665;PlayStation 2
Spy Fiction;9;;;9;PlayStation 2
State of Emergency;5;8;;5.5;PlayStation 2
Street Fighter Alpha 2;0.6166666666666667;3;1.5;0.9666666666666667;PlayStation 2
Street Fighter Alpha: Warriors' Dreams;0.9;3;1.5;0.9666666666666667;PlayStation 2
Sub Rebellion;5.5;;;5.5;PlayStation 2
Super Bust-A-Move;1.5;;;1.5;PlayStation 2
Superman Returns;7;;22.5;19;PlayStation 2
Superman Returns (Console);6;13;20;9.5;PlayStation 2
Superman: Shadow of Apokolips;;;3;3;PlayStation 2
Taiko no Tatsujin: Tatacon de DODON ga DON;4;;;4;PlayStation 2
Taiko no Tatsujin: Waku Waku Anime Matsuri;5.5;;;5.5;PlayStation 2
Taiko: Drum Master;5.5;;;5.5;PlayStation 2
Tetris Worlds;;;9;9;PlayStation 2
The Da Vinci Code;7.5;15;;9.5;PlayStation 2
The Golden Compass;6;16.5;;8.5;PlayStation 2
The Great Escape (2003);9;;;9;PlayStation 2
The Guy Game;4;;5.5;4.5;PlayStation 2
The History Channel: Civil War - A Nation Divided;9;10;;9.5;PlayStation 2
The King of Fighters 2001;0.5166666666666667;2;12;3.5;PlayStation 2
The Mummy Returns;8;;;8;PlayStation 2
The Ninja Kids;0.43333333333333335;;;0.43333333333333335;PlayStation 2
The Simpsons Skateboarding;;;;;PlayStation 2
Thrillville;;8;;8;PlayStation 2
Tokobot Plus: Mysteries of the Karakuri;10;8.5;;9;PlayStation 2
Tony Hawk's Proving Ground (PS2/Wii);;;;;PlayStation 2
Victorious Boxers: Ippo's Road to Glory;;;;;PlayStation 2
World Heroes Anthology;;;;;PlayStation 2
WWE SmackDown vs. Raw 2007;9;;49;28.5;PlayStation 2
WWF SmackDown! Just Bring It;2.5;;;2.5;PlayStation 2
Xiaolin Showdown;;;16.5;16.5;PlayStation 2
MLB 06: The Show;;;;;PlayStation 2
The Incredibles: Rise of the Underminer;2.5;;;2.5;PlayStation 2
Pimp My Ride;;;;;PlayStation 2
NASCAR Thunder 2004;40;;;40;PlayStation 2
Conflict: Global Storm;10;;;10;PlayStation 2
Scooby-Doo! Night of 100 Frights;4;5.5;8.5;7;PlayStation 2
Phantasy Star Generation: 1;22;;29;25.5;PlayStation 2
NBA Street V3;;;;;PlayStation 2
Activision Anthology;;;;;PlayStation 2
Tom and Jerry in War of the Whiskers;;;9.5;9.5;PlayStation 2
Pro Evolution Soccer 2;;;;;PlayStation 2
International Superstar Soccer 2;;;;;PlayStation 2
Jackass: The Game;;;;;PlayStation 2
Ben 10: Protector of Earth;2;3.5;4;4;PlayStation 2
Tiger Woods PGA Tour 2004;26;5;;;PlayStation 2
Indiana Jones and the Staff of Kings;10;;;10;PlayStation 2
Tribes: Aerial Assault;;;;;PlayStation 2
Yu Yu Hakusho: Dark Tournament;;;;;PlayStation 2
KOF: Maximum Impact Regulation A;;;;;PlayStation 2
Prince of Tennis: Smash Hit 2;;;;;PlayStation 2
Block Block;0.26666666666666666;;;0.26666666666666666;PlayStation 2
Buzz!: The Big Quiz;10;;;;PlayStation 2
Don't Pull;0.65;;;0.65;PlayStation 2
Lego Football Mania;;;4;4;PlayStation 2
Frogger: The Great Quest;4;;;4;PlayStation 2
The King of Fighters: Neowave;0.3;;;0.3;PlayStation 2
MX Superfly;;;;;PlayStation 2
Aqua Teen Hunger Force Zombie Ninja Pro-Am;;8;;8;PlayStation 2
Shaun Palmer's Pro Snowboarder;;;;;PlayStation 2
WRC II Extreme;;;;;PlayStation 2
Silent Scope 2: Dark Silhouette;0.6666666666666666;;;0.6666666666666666;PlayStation 2
Without Warning;;;;;PlayStation 2
Crazy Frog Racer;1.5;;;1.5;PlayStation 2
EyeToy: Play;;;;;PlayStation 2
Firefighter F.D.18;7;;;7;PlayStation 2
The Sopranos: Road to Respect;8;;;8;PlayStation 2
Wallace & Gromit in Project Zoo;;;;;PlayStation 2
Ape Escape: Pumped & Primed;4.5;6;;5;PlayStation 2
Spy vs. Spy (2005);6;;;6;PlayStation 2
Portal 2;8.5;13;19;10;PlayStation 3
BioShock Infinite;11.5;15.5;25.5;13.5;PlayStation 3
The Elder Scrolls V: Skyrim;31.5;104;213;104.5;PlayStation 3
Portal;3;5;8.5;4;PlayStation 3
BioShock;12;16;21;14.5;PlayStation 3
Life Is Strange;18.5;;;;PlayStation 3
Fallout: New Vegas;28.5;61;126.5;57.5;PlayStation 3
Batman: Arkham Asylum GOTY;11;16.5;24.5;14;PlayStation 3
Borderlands 2;31;51;101.5;48;PlayStation 3
XCOM: Enemy Unknown;26;32.5;51;29.5;PlayStation 3
Half-Life 2;13.5;15.5;19;14.5;PlayStation 3
BioShock 2;11;14.5;23;13;PlayStation 3
Dishonored;12.5;17.5;31.5;16;PlayStation 3
The Walking Dead;13.5;;;;PlayStation 3
Grand Theft Auto: San Andreas;33;50.5;98;47.5;PlayStation 3
Batman: Arkham City GOTY;13.5;23.5;59.5;21;PlayStation 3
Borderlands;22.5;35.5;58.5;33;PlayStation 3
Mirror's Edge (2008);6;8.5;12;6.5;PlayStation 3
Middle-Earth: Shadow of Mordor;15;22.5;30.5;23.5;PlayStation 3
Alan Wake;11;14.5;24.5;13;PlayStation 3
Half-Life 2: Episode One;4;4.5;5;4;PlayStation 3
Brothers: A Tale of Two Sons;3;3.5;4;3;PlayStation 3
Hotline Miami;5;7;14;6.5;PlayStation 3
Saints Row: The Third;14.5;26;43;25;PlayStation 3
Grand Theft Auto: Vice City;20.5;30;47.5;27;PlayStation 3
Limbo;3.5;4;6.5;4;PlayStation 3
Half-Life 2: Episode Two;5.5;6;8;6;PlayStation 3
Dark Souls: Prepare to Die Edition;50;65.5;97.5;63.5;PlayStation 3
Darksiders;17.5;20.5;27.5;20;PlayStation 3
Deus Ex: Human Revolution;21;29.5;42;29;PlayStation 3
Jet Set Radio;7;11;15;8.5;PlayStation 3
Batman: Arkham Origins;12.5;21;40;17.5;PlayStation 3
Grand Theft Auto III;17.5;24.5;41;21.5;PlayStation 3
Braid;5;6;7.5;5.5;PlayStation 3
Hell Yeah! Wrath of the Dead Rabbit;8;8.5;8.5;8;PlayStation 3
Mass Effect 2;24.5;35.5;50;35.5;PlayStation 3
Psychonauts;13;16;22.5;15.5;PlayStation 3
Dead Space;11.5;13;20.5;12.5;PlayStation 3
Just Cause 2;17.5;35;87.5;30;PlayStation 3
Metal Gear Solid V: The Phantom Pain;42.5;79;164.5;79;PlayStation 3
Assassin's Creed II;18.5;27;34.5;26;PlayStation 3
Fez;6;8.5;11.5;8.5;PlayStation 3
Wolfenstein: The New Order;12;15.5;24.5;13.5;PlayStation 3
Mass Effect;17;29;43;27;PlayStation 3
Trine 2;8;11;17.5;9.5;PlayStation 3
Spec Ops: The Line;6;7.5;16;7;PlayStation 3
Hitman: Absolution;12.5;20.5;32;16;PlayStation 3
Binary Domain;9.5;10.5;21;9.5;PlayStation 3
L.A. Noire;20.5;27;38.5;26;PlayStation 3
Saints Row IV;15;23;33.5;23;PlayStation 3
Grand Theft Auto IV;28;41;80.5;35.5;PlayStation 3
The Wolf Among Us;10.5;;;;PlayStation 3
Far Cry 3;15.5;25.5;36.5;24.5;PlayStation 3
Assassin's Creed IV: Black Flag;22;39;55.5;36.5;PlayStation 3
Counter-Strike: Global Offensive;221;220.5;;;PlayStation 3
Grand Theft Auto V;31;44.5;75.5;42;PlayStation 3
Fallout 3: Game of the Year;30.5;72.5;106.5;71.5;PlayStation 3
SEGA Genesis Classics Collection;;;9;9;PlayStation 3
Crysis 2;9;11.5;15.5;10;PlayStation 3
Brutal Legend;9;13.5;23.5;11;PlayStation 3
Castle Crashers;7;10.5;54.5;10;PlayStation 3
Thomas Was Alone;3.5;3.5;4;3.5;PlayStation 3
Trine;6;8.5;15.5;7.5;PlayStation 3
Alien: Isolation;18.5;23.5;30;20.5;PlayStation 3
Metal Gear Solid V: Ground Zeroes;1.5;6.5;19.5;3;PlayStation 3
Dead Island;18;26.5;48;25;PlayStation 3
Max Payne 3;10;13;31;11;PlayStation 3
Alan Wake's American Nightmare;3.5;4.5;7.5;4;PlayStation 3
Far Cry 3: Blood Dragon;4.5;7.5;9;7;PlayStation 3
Viking: Battle for Asgard;13.5;17;26.5;17.5;PlayStation 3
South Park: The Stick of Truth;11;14;17.5;13.5;PlayStation 3
Call of Juarez: Gunslinger;5;7;14;6;PlayStation 3
Rogue Legacy;16.5;25;35;21;PlayStation 3
The Walking Dead: Season 2;9.5;;;;PlayStation 3
Final Fantasy VII;38.5;58;90.5;56.5;PlayStation 3
Sleeping Dogs;15.5;21.5;32.5;21;PlayStation 3
Deus Ex: Human Revolution - Director's Cut;24;31.5;42.5;31.5;PlayStation 3
F.E.A.R.;8.5;11;12;9.5;PlayStation 3
Tomb Raider (2013);11.5;15.5;20;14.5;PlayStation 3
Assassin's Creed;15;19.5;31;18;PlayStation 3
Dead Space 2;9;11.5;15.5;10.5;PlayStation 3
F.E.A.R. 3;6;8;14.5;6.5;PlayStation 3
Renegade Ops;5;6;15.5;5.5;PlayStation 3
Awesomenauts;20;47.5;500;79;PlayStation 3
The Elder Scrolls IV: Oblivion;25.5;93;192.5;91.5;PlayStation 3
Payday: The Heist;9.5;72.5;168;18.5;PlayStation 3
F.E.A.R. 2: Project Origin;7;9.5;11;8;PlayStation 3
Assassin's Creed III;15.5;31;54;26;PlayStation 3
Dungeon Defenders;14.5;53;463;43;PlayStation 3
Child of Light;11;13.5;15;12.5;PlayStation 3
Guacamelee!;6;8.5;14;8;PlayStation 3
Sniper Elite V2;7;12;30;8;PlayStation 3
Valkyria Chronicles;31.5;38;56.5;36;PlayStation 3
Darksiders II;22;28;43.5;26.5;PlayStation 3
Murdered: Soul Suspect;6.5;8.5;11.5;8.5;PlayStation 3
Burnout Paradise: The Ultimate Box;11;31.5;52.5;16;PlayStation 3
Red Faction: Armageddon;8;10.5;19.5;9;PlayStation 3
Serious Sam 3: BFE;10;14.5;16.5;12;PlayStation 3
The Swapper;5;5.5;5.5;5;PlayStation 3
Grand Theft Auto: Episodes From Liberty City;20;26.5;51;24.5;PlayStation 3
Mafia II;12;16;28.5;14;PlayStation 3
Assassin's Creed: Brotherhood;14.5;26;42;24;PlayStation 3
Borderlands: The Pre-Sequel!;17.5;26.5;43;25;PlayStation 3
Dragon Age: Inquisition;44;86;122;86;PlayStation 3
Payday 2;18;83;253;103.5;PlayStation 3
Thief;10;22;39.5;16.5;PlayStation 3
Valiant Hearts: The Great War;6;7;9;7;PlayStation 3
Assassin's Creed: Revelations;12;21;36;19;PlayStation 3
Crysis;10.5;12.5;13;11;PlayStation 3
Retro City Rampage DX;5.5;9.5;17.5;6.5;PlayStation 3
Machinarium;5;5.5;6;5.5;PlayStation 3
Plants vs. Zombies;8;19.5;44.5;17.5;PlayStation 3
Lara Croft and the Guardian of Light;6;8;18;7.5;PlayStation 3
Lone Survivor: The Director's Cut;4;5;9.5;4.5;PlayStation 3
Tales from the Borderlands;10;11;11.5;10.5;PlayStation 3
DmC: Devil May Cry;9;11;38.5;10;PlayStation 3
Metal Gear Rising: Revengeance;6.5;10;29.5;7.5;PlayStation 3
Red Faction: Guerrilla;13.5;20.5;48.5;18;PlayStation 3
Alpha Protocol;13;17.5;24.5;16;PlayStation 3
Back to the Future: The Game;14;;;;PlayStation 3
Dragon Age: Origins;41;59;85;57;PlayStation 3
Hitman 2: Silent Assassin;14.5;15;18.5;15;PlayStation 3
Hitman: Blood Money;12;14.5;19;13.5;PlayStation 3
Saints Row 2;20.5;29.5;53.5;26;PlayStation 3
Batman: Arkham City;12.5;21;46;18;PlayStation 3
Game of Thrones - A Telltale Games Series;12;13;13;12.5;PlayStation 3
Resident Evil 4;16;20.5;26.5;18.5;PlayStation 3
Tomb Raider: Anniversary;13;15;19;14.5;PlayStation 3
Medal of Honor (2010);5;6;12;5.5;PlayStation 3
Back to the Future: The Game - Episode II: Get Tannen!;2;2.5;3;2.5;PlayStation 3
Far Cry 2;17;27.5;36;24;PlayStation 3
Metro: Last Light;10.5;13;31.5;11.5;PlayStation 3
Sonic Generations;5.5;10;23;8;PlayStation 3
Final Fantasy XIII;49.5;62.5;109;61.5;PlayStation 3
Far Cry 4;15.5;29;43;29;PlayStation 3
Rage;11;15;22.5;14.5;PlayStation 3
Back to the Future: The Game - Episode III: Citizen Brown;2.5;2.5;3;2.5;PlayStation 3
Back to the Future: The Game - Episode V: OUTATIME;2.5;2.5;3;2.5;PlayStation 3
Dragon Age: Origins - Ultimate Edition;53;74.5;104.5;75.5;PlayStation 3
Tomb Raider: Underworld;10;12;18;11;PlayStation 3
Shovel Knight;6;7.5;15.5;7;PlayStation 3
Dark Souls II: Scholar of the First Sin;38.5;64.5;80.5;57.5;PlayStation 3
The Lord of the Rings: War in the North;12;14.5;27;14;PlayStation 3
Back to the Future: The Game - Episode IV: Double Visions;2.5;2.5;3;2.5;PlayStation 3
Resident Evil 5;12;17;32.5;15;PlayStation 3
Remember Me;9.5;11;16;10.5;PlayStation 3
Tomb Raider: Legend;7.5;8.5;16;8.5;PlayStation 3
Costume Quest;5.5;6.5;7;6;PlayStation 3
Deus Ex: Human Revolution - The Missing Link DLC;4.5;6;7;5.5;PlayStation 3
Shank 2;4;6;20;4.5;PlayStation 3
Lego Marvel Super Heroes;11;19.5;38.5;22.5;PlayStation 3
Dark Souls II;48;63.5;117.5;62;PlayStation 3
Enslaved: Odyssey to the West;9;10.5;18.5;10;PlayStation 3
Kingdoms of Amalur: Reckoning;30.5;55.5;104;59;PlayStation 3
Call of Duty: Black Ops;7;12.5;14;8;PlayStation 3
Alice: Madness Returns;13.5;15;22.5;15;PlayStation 3
Battlefield: Bad Company 2;7;10;15.5;7.5;PlayStation 3
Proteus;1;;;;PlayStation 3
Giana Sisters: Twisted Dreams;7.5;13;19;9;PlayStation 3
Just Cause;8.5;20;28;12;PlayStation 3
Shank;3;4.5;10;3.5;PlayStation 3
Uncharted: Drake's Fortune;8.5;10;18;9.5;PlayStation 3
Watch Dogs;18.5;33;57.5;26.5;PlayStation 3
Anomaly: Warzone Earth;6;8.5;19;8;PlayStation 3
Hitman: Absolution - Sniper Challenge;0.38333333333333336;1.5;2.5;1;PlayStation 3
The Bureau: XCOM Declassified;11;14;16;12.5;PlayStation 3
Shatter;2.5;3;4;3;PlayStation 3
The Darkness II;6;8;14.5;7;PlayStation 3
Star Wars: The Force Unleashed II;5;7;11;5.5;PlayStation 3
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien;6.5;9;23.5;9.5;PlayStation 3
Final Fantasy XIII-2;27;42;70;42;PlayStation 3
Prince of Persia: The Sands of Time;9;10;12;9.5;PlayStation 3
Rochard;5.5;6;9.5;5.5;PlayStation 3
Call of Duty 4: Modern Warfare;7;9.5;16;7.5;PlayStation 3
Sam & Max 301: The Penal Zone;4;4;4;4;PlayStation 3
Sam & Max 305: The City That Dares Not Sleep;3;3;3;3;PlayStation 3
The Secret of Monkey Island;6.5;6.5;7.5;6.5;PlayStation 3
Beyond Good & Evil;10.5;12;13;12;PlayStation 3
Puzzle Agent;3.5;3.5;4;3.5;PlayStation 3
Sam & Max 302: The Tomb of Sammun-Mak;3.5;4;3.5;3.5;PlayStation 3
Sam & Max 303: They Stole Max's Brain!;3.5;3.5;3.5;3.5;PlayStation 3
Sonic & All-Stars Racing Transformed;7;14.5;43.5;13;PlayStation 3
SteamWorld Dig;5;6.5;7.5;6;PlayStation 3
Fallout 3;23.5;59;121;54.5;PlayStation 3
Resident Evil: Revelations;9;13.5;34;10;PlayStation 3
Risen 2: Dark Waters;26.5;33;46.5;34;PlayStation 3
Sam & Max 304: Beyond the Alley of the Dolls;3;3;3.5;3;PlayStation 3
The Evil Within;16;19;38;17.5;PlayStation 3
Injustice: Gods Among Us - Ultimate Edition;5;8.5;10.5;5;PlayStation 3
Call of Duty: Modern Warfare 2;6.5;8.5;25.5;8;PlayStation 3
Skullgirls: Encore;3;15;75.5;5.5;PlayStation 3
Ultra Street Fighter IV;2;5.5;10;3.5;PlayStation 3
Lego The Lord of the Rings: The Video Game;10;15;31.5;16.5;PlayStation 3
Overlord II;17;20.5;28.5;20;PlayStation 3
Spelunky;19.5;45.5;85;43.5;PlayStation 3
Dragon's Dogma: Dark Arisen;40.5;63;105.5;62;PlayStation 3
Uncharted 2: Among Thieves;11;12.5;22.5;11.5;PlayStation 3
Final Fantasy VIII;42;61.5;92.5;60.5;PlayStation 3
Bulletstorm;7.5;9.5;16;8;PlayStation 3
Closure;6;8;9;8;PlayStation 3
Papo & Yo;3.5;3.5;6;3.5;PlayStation 3
Rayman Origins;10.5;13.5;21;13;PlayStation 3
Infamous: Second Son;10;14;20;14.5;PlayStation 3
Resident Evil: Revelations 2;26.5;9.5;;;PlayStation 3
Stacking;4;6;8.5;6;PlayStation 3
Batman: Arkham Origins Blackgate;7;10;13;9;PlayStation 3
Grid 2;18;19.5;27;19.5;PlayStation 3
Monkey Island 2: LeChuck's Revenge;7;7;7.5;7;PlayStation 3
Prototype;11.5;17;34.5;14.5;PlayStation 3
Uncharted 3: Drake's Deception;9;10.5;20;10;PlayStation 3
DiRT Showdown;9.5;11;15.5;10.5;PlayStation 3
