title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Akalabeth: World of Doom;3;;2.5;3;Apple II
Zork I: The Great Underground Empire;7;;2;5.5;Apple II
Dungeon Campaign;1;;;1;Apple II
Rescue at Rigel;0.45;;;0.45;Apple II
Metal Slug 3;1.5;3;4;2;Arcade
Golden Axe;0.7833333333333333;0.9833333333333333;1.5;0.8166666666666667;Arcade
Gauntlet;0.8333333333333334;2;;1;Arcade
Crazy Taxi;3;4.5;5;4;Arcade
Metal Slug X;1;2;2.5;1;Arcade
Metal Slug;1;2;2;1;Arcade
Double Dragon;1.5;2.5;2.5;1.5;Arcade
Mortal Kombat II;2;9.5;19;3;Arcade
Dragon's Lair;0.8166666666666667;;2.5;0.9833333333333333;Arcade
Altered Beast;1.5;1.5;2;1.5;Arcade
Contra;0.95;1.5;1;1;Arcade
Teenage Mutant Ninja Turtles (1989);2.5;3.5;4;3;Arcade
Teenage Mutant Ninja Turtles II: The Arcade Game;1;1.5;1;1;Arcade
Tekken 3;3.5;15;25.5;11.5;Arcade
Double Dragon II: The Revenge;1;;2;1.5;Arcade
Metal Slug 5;0.9666666666666667;2.5;;1;Arcade
Pac-Man;3;;;3;Arcade
Strider 2;0.75;0.8666666666666667;1;0.7666666666666667;Arcade
The House of the Dead 2;1;2;2;2;Arcade
Final Fight;1.5;0.8333333333333334;1;1.5;Arcade
Mega Twins;0.6333333333333333;;0.6;0.6166666666666667;Arcade
Metal Slug 2;1;2;2;1.5;Arcade
Metal Slug 4;1;3;2.5;1.5;Arcade
Mortal Kombat 3;3;7.5;20;4.5;Arcade
Street Fighter III 3rd Strike: Fight for the Future;1;5.5;10.5;2.5;Arcade
Tekken;2.5;8;27.5;3.5;Arcade
The Simpsons Arcade Game;0.85;0.9666666666666667;1;0.9666666666666667;Arcade
U.N. Squadron;2;;2;2;Arcade
Art of Fighting;1.5;0.95;0.8;1.5;Arcade
Rastan;3;;2;2.5;Arcade
Splatterhouse;0.9833333333333333;;;0.9833333333333333;Arcade
Street Fighter;0.65;3.5;1;1.5;Arcade
Teenage Mutant Ninja Turtles: Turtles in Time;2;4;3.5;2.5;Arcade
Tekken Tag Tournament;2;6.5;10;4.5;Arcade
The House of the Dead III;0.75;2;4;1;Arcade
Ultimate Mortal Kombat 3;1;7;12;3;Arcade
X-Men vs. Street Fighter;0.6;10;7.5;2;Arcade
Arkanoid;2;;;2;Arcade
Battletoads (Arcade);1;1.5;1.5;1;Arcade
Cadillacs and Dinosaurs;1;1;0.6666666666666666;1;Arcade
Captain Commando;2;2;0.75;2;Arcade
Donkey Kong Jr.;0.25;0.25;1;0.38333333333333336;Arcade
DonPachi;0.8833333333333333;;1;0.9333333333333333;Arcade
Galaga;3;;3;3;Arcade
Ghosts 'n Goblins;6.5;5;11.5;6.5;Arcade
Ghouls 'n Ghosts;3;;3.5;3;Arcade
Golden Axe II;0.95;;2;1;Arcade
Gradius II;0.6833333333333333;1.5;;0.8333333333333334;Arcade
Killer Instinct (Arcade/SNES);0.9833333333333333;;1;0.9833333333333333;Arcade
Marvel Super Heroes;1.5;2;2.5;2;Arcade
Marvel Super Heroes vs. Street Fighter;0.7333333333333333;;5;1;Arcade
Mega Man: The Power Battle;0.6;;0.7;0.6166666666666667;Arcade
Michael Jackson's Moonwalker;1.5;;2;1.5;Arcade
R-Type;2;;1.5;2;Arcade
Shinobi (1987);0.5166666666666667;3;1.5;1;Arcade
Star Wars Trilogy Arcade;0.8833333333333333;;6;1.5;Arcade
Street Fighter Alpha 3;2;4;24;3.5;Arcade
Street Fighter II;2;21;10.5;3.5;Arcade
Street Fighter II Turbo: Hyper Fighting;1.5;2;13;3;Arcade
Strider (Arcade/GEN/MD/68k);0.9333333333333333;2;2;1;Arcade
The King of Dragons;1.5;;2;1.5;Arcade
Time Crisis 4;1;;;1;Arcade
Virtua Fighter;0.85;;1.5;1;Arcade
Bubble Bobble;3;2;;3;Arcade
Donkey Kong;0.45;1;3.5;0.6333333333333333;Arcade
Dungeons & Dragons: Tower of Doom;1;;3.5;1.5;Arcade
Fist of the North Star (2005);2.5;12.5;;6.5;Arcade
Joe & Mac;2;;0.95;1;Arcade
Marvel vs. Capcom 2;0.7166666666666667;22;179.5;7.5;Arcade
Marvel vs. Capcom: Clash of Super Heroes;1.5;4;9.5;4;Arcade
Mega Man 2: The Power Fighters;0.9666666666666667;0.6666666666666666;;0.8166666666666667;Arcade
Samurai Shodown IV: Amakusa's Revenge;0.8833333333333333;2;;1.5;Arcade
Saturday Night Slam Masters;1;;9;2;Arcade
SNK vs. Capcom: SVC Chaos;0.26666666666666666;2;;1.5;Arcade
Space Harrier;0.5666666666666667;;3;2;Arcade
Sunset Riders;2.5;;3.5;2.5;Arcade
The House of the Dead 4;4.5;;2;4;Arcade
The King of Fighters 2000;0.7833333333333333;2;12.5;2.5;Arcade
Time Crisis II;2;;4;2.5;Arcade
Shock Troopers: 2nd Squad;0.8166666666666667;;;0.8166666666666667;Arcade
Aero Fighters;0.9;1;1;0.9833333333333333;Arcade
After Burner;1.5;;2.5;2;Arcade
Alien vs. Predator (Arcade);0.9;;0.9;0.9;Arcade
Armed Police Batrider;10;;5;7.5;Arcade
Bionic Commando (1988);2.5;3;1.5;2.5;Arcade
Blazing Star;2;;;2;Arcade
Cabal;;;1.5;1.5;Arcade
Captain America and The Avengers;1;;3;1.5;Arcade
Cyberbots: Full Metal Madness;0.7666666666666667;2;1.5;1;Arcade
Darkstalkers 3;1.5;;;1.5;Arcade
Dead or Alive 2;0.5333333333333333;3.5;6;2;Arcade
Die Hard Arcade;0.7333333333333333;;1;0.8166666666666667;Arcade
DoDonPachi;0.26666666666666666;;1;0.6333333333333333;Arcade
Dungeons & Dragons: Shadow over Mystara;1;1.5;0.7333333333333333;1;Arcade
Fatal Fury: King of Fighters;1;1;20;3;Arcade
Garou: Mark of the Wolves;0.7166666666666667;;6.5;2;Arcade
Giga Wing;0.6;;;0.6;Arcade
Golden Axe: The Revenge of Death Adder;1;1.5;1.5;1;Arcade
GunForce;0.31666666666666665;;8.5;2.5;Arcade
JoJo's Bizarre Adventure (1998);0.8166666666666667;5;6;2;Arcade
Knights of the Round;1.5;;;1.5;Arcade
Lethal Enforcers;0.8166666666666667;;1.5;0.9833333333333333;Arcade
Magical Drop III;1;;;1;Arcade
Mars Matrix: Hyper Solid Shooting;;;2;2;Arcade
Mercs;2;;4.5;3;Arcade
Metal Slug 6;1.5;;;1.5;Arcade
Night Warriors: Darkstalkers' Revenge;0.7333333333333333;;;0.7333333333333333;Arcade
Ninja Baseball Bat Man;0.9166666666666666;;;0.9166666666666666;Arcade
Paperboy;3.5;;3;3.5;Arcade
Point Blank;0.25;;10;5;Arcade
Pong;0.25;;;;Arcade
Progear: Storm of Progia;0.5;;;0.5;Arcade
Puzzle Bobble;6.5;;14.5;7.5;Arcade
Robotron: 2084;;;;;Arcade
Samurai Shodown III: Blades of Blood;2;2;2;2;Arcade
Silent Scope;0.3;;0.8666666666666667;0.4;Arcade
Smash TV;1;2.5;1.5;1.5;Arcade
Snow Bros;0.8166666666666667;2;3.5;1.5;Arcade
Soul Blade;1.5;9.5;;3;Arcade
Space Invaders;2.5;5;;4;Arcade
Star Wars (1983);;;2;2;Arcade
Street Fighter EX;0.4;3;4.5;2;Arcade
Street Fighter II: Champion Edition;1;17;13.5;4.5;Arcade
Super Breakout;;;;;Arcade
Super Street Fighter II Turbo;2.5;4.5;3;3;Arcade
The House of the Dead;1;3;3;1.5;Arcade
The King of Fighters '94;2.5;3;2;2.5;Arcade
The King of Fighters '95;4;2;16.5;5;Arcade
The King of Fighters '97;7.5;3.5;13;6.5;Arcade
The King of Fighters '98: The Slugfest;5;5.5;18;7;Arcade
The King of Fighters '99;0.95;2;10;3;Arcade
The King of Fighters 2002;0.36666666666666664;2;;0.5666666666666667;Arcade
The Last Blade;0.9333333333333333;;3;1.5;Arcade
The Lost World: Jurassic Park (Arcade);1.5;;0.8666666666666667;1;Arcade
The Punisher (1993);1;;2.5;1.5;Arcade
Time Crisis;2;2;3;2;Arcade
Time Crisis 3;0.55;9;;5;Arcade
Twinkle Star Sprites;3;17.5;;8;Arcade
X-Men (Arcade/PSN/XBLA);0.75;3;8;1.5;Arcade
X-Men: Children of the Atom;0.65;10;;5.5;Arcade
Armored Warriors;0.95;;;0.95;Arcade
Burning Fight;0.6833333333333333;;0.5833333333333334;0.65;Arcade
Black Tiger;0.85;;0.6166666666666667;0.7833333333333333;Arcade
PuLiRuLa;;;0.6666666666666666;0.6666666666666666;Arcade
Gunblade NY;;0.75;;0.75;Arcade
Samurai Shodown II;0.9166666666666666;;;0.9166666666666666;Arcade
GunForce II;0.5;;;0.5;Arcade
Magic Sword;1;1;;1;Arcade
Mortal Kombat (Original);1;15;3;2.5;Arcade
Mushihime-sama;1.5;11.5;;2.5;Arcade
1941: Counter Attack;0.43333333333333335;;2;0.7333333333333333;Arcade
1944: The Loop Master;0.7666666666666667;0.7833333333333333;;0.7666666666666667;Arcade
19XX: The War Against Destiny;0.5666666666666667;;4;1;Arcade
Alien 3: The Gun;0.4166666666666667;;;0.4166666666666667;Arcade
Area 51 (1995);0.6666666666666666;0.5;;0.5833333333333334;Arcade
Battle Bakraid;3;;;3;Arcade
Battlezone (1980);;;;;Arcade
Darkstalkers: The Night Warriors;0.8333333333333334;;;0.8333333333333334;Arcade
Defender;;;;;Arcade
Kung-Fu Master;0.25;;;0.25;Arcade
Street Fighter Alpha 2;0.6166666666666667;3;1.5;0.9666666666666667;Arcade
Street Fighter Alpha: Warriors' Dreams;0.9;3;1.5;0.9666666666666667;Arcade
Street Fighter III: New Generation;0.5166666666666667;4;7;1;Arcade
The King of Fighters 2001;0.5166666666666667;2;12;3.5;Arcade
Three Wonders;1;;2;1.5;Arcade
Vampire Hunter 2: Darkstalkers' Revenge;;;2;2;Arcade
Virtua Cop 3;;;1;1;Arcade
Waku Waku 7;0.8833333333333333;;;0.8833333333333333;Arcade
Zaxxon;;;;;Arcade
Narc (1988);0.6166666666666667;0.3333333333333333;;0.5;Arcade
League Bowling;0.08333333333333333;;1.5;0.85;Arcade
Battle Circuit;0.8333333333333334;;0.8666666666666667;0.85;Arcade
Ninja Commando;0.7;;;0.7;Arcade
Avengers;;;;;Arcade
Midnight Wanderers: Quest for the Chariot;0.35;0.8333333333333334;;0.43333333333333335;Arcade
Chariot: Adventure through the Sky;0.5833333333333334;;;0.5833333333333334;Arcade
The Legend of Silk Road;;;;;Arcade
Bad Dudes Vs. DragonNinja;0.38333333333333336;;;0.38333333333333336;Arcade
Rastan Saga II;;;;;Arcade
Blaster;;;;;Arcade
DoDonPachi II: Bee Storm;0.5;;;0.5;Arcade
Bucky O'Hare (Arcade);0.7;;;0.7;Arcade
Jurassic Park (Arcade);0.25;;;0.25;Arcade
Pac-Man;3;;;3;Atari 2600
Dig Dug;3.5;;7;5.5;Atari 2600
Haunted House;;;;;Atari 2600
Demon Attack;0.08333333333333333;;;0.08333333333333333;Atari 2600
Donkey Kong;0.45;1;3.5;0.6333333333333333;Atari 2600
Atlantis;;;;;Atari 2600
Adventure (Atari 2600);0.08333333333333333;;0.75;0.26666666666666666;Atari 2600
Asteroids;;;;;Atari 2600
Centipede;2.5;;;2.5;Atari 2600
Combat;;;2.5;2.5;Atari 2600
Frogger;1;;0.5;0.75;Atari 2600
H.E.R.O.;0.7166666666666667;;;0.7166666666666667;Atari 2600
Kaboom!;;;;;Atari 2600
Megamania;0.8833333333333333;;;0.8833333333333333;Atari 2600
Missile Command;;;1;1;Atari 2600
Moon Patrol;0.26666666666666666;;;0.26666666666666666;Atari 2600
Ms. Pac-Man;1.5;4;;2.5;Atari 2600
Pitfall II: Lost Caverns;0.2833333333333333;0.6333333333333333;;0.36666666666666664;Atari 2600
Pitfall!;1.5;;;1.5;Atari 2600
Q*bert;;;;;Atari 2600
Riddle of the Sphinx;;;;;Atari 2600
River Raid;;;;;Atari 2600
Space Invaders;2.5;5;;4;Atari 2600
